id,question,answer
1,What does the following mean: 'iSCIENCE Part - I Educational Publications DepartmentGrade 7'?,iSCIENCE Part - I Educational Publications DepartmentGrade 7
2,What does the following mean: 'iiFirst Print 2015 Second Print 2016Third Print 2017Fourth Print 2018Fifth Print 2019 All Rights Reserved ISBN 978-955-25-0106-7 Published by Educational Publications Department Printed at Neo Graphics (Pvt) Ltd.'?,iiFirst Print 2015 Second Print 2016Third Print 2017Fourth Print 2018Fifth Print 2019 All Rights Reserved ISBN 978-955-25-0106-7 Published by Educational Publications Department Printed at Neo Graphics (Pvt) Ltd.
3,"What does the following mean: '44, Udahamulla Station Road, Gangodawila, Nugegoda.'?","44, Udahamulla Station Road, Gangodawila, Nugegoda."
4,"What does the following mean: 'iii The National Anthem of Sri Lanka Sri Lanka Matha Apa Sri Lanka Namo Namo Namo Namo MathaSundara siri barinee, surendi athi sobamana LankaDhanya dhanaya neka mal palaturu piri jaya bhoomiya ramya Apa hata sepa siri setha sadana jeewanaye mathaPiliganu mena apa bhakthi pooja Namo Namo MathaApa Sri Lanka Namo Namo Namo Namo MathaOba we apa vidya Obamaya apa sathyaOba we apa shakthi Apa hada thula bhakthiOba apa aloke Apage anupraneOba apa jeevana we Apa mukthiya oba weNava jeevana demine, nithina apa pubudukaran mathaGnana veerya vadawamina regena yanu mana jaya bhoomi karaEka mavakage daru kela bevinaY amu yamu vee nopamaPrema vada sema bheda dureradaNamo, Namo MathaApa Sri Lanka Namo Namo Namo Namo Matha'?","iii The National Anthem of Sri Lanka Sri Lanka Matha Apa Sri Lanka Namo Namo Namo Namo MathaSundara siri barinee, surendi athi sobamana LankaDhanya dhanaya neka mal palaturu piri jaya bhoomiya ramya Apa hata sepa siri setha sadana jeewanaye mathaPiliganu mena apa bhakthi pooja Namo Namo MathaApa Sri Lanka Namo Namo Namo Namo MathaOba we apa vidya Obamaya apa sathyaOba we apa shakthi Apa hada thula bhakthiOba apa aloke Apage anupraneOba apa jeevana we Apa mukthiya oba weNava jeevana demine, nithina apa pubudukaran mathaGnana veerya vadawamina regena yanu mana jaya bhoomi karaEka mavakage daru kela bevinaY amu yamu vee nopamaPrema vada sema bheda dureradaNamo, Namo MathaApa Sri Lanka Namo Namo Namo Namo Matha"
5,"What does the following mean: 'orefjda tl ksjfiys fjfikdtl mdge;s tl reêrh fõwm lh ;=< ÿjkd tneúks wms fjuq fidhqre fidhqßfhda tl f,i tys jefvkdÔj;a jk wm fuu ksjfiafid¢k isáh hq;= fõ ieug u fu;a lreKd .=fKkS fj<S iu.s oñkSrka ñKs uq;= fkd j th u h iem;dlsis l, fkdu Èrkd wdkkao iurfldaka xU jha; kf;fs; ehkhNthk; xd;Nw ehk; thOk; ,y;yk;ed;Nw clypy; XLk;xd;Nw ek; FUjp epwk; mjdhy; rNfhjuu; ehkhNthk; xd;wha; thOk; tsUk; ehk; ed;wha; ,t; ,y;ypdpNyeyNk tho;jy; Ntz;Lkd;Nwh ahtUk; md;G fUizAld; xw;Wik rpwf;f tho;e;jpLjy;nghd;Dk; kzpAk; Kj;Jky;y - mJNtahd;W kopahr; nry;tkd;Nwh.'?","orefjda tl ksjfiys fjfikdtl mdge;s tl reêrh fõwm lh ;=< ÿjkd tneúks wms fjuq fidhqre fidhqßfhda tl f,i tys jefvkdÔj;a jk wm fuu ksjfiafid¢k isáh hq;= fõ ieug u fu;a lreKd .=fKkS fj<S iu.s oñkSrka ñKs uq;= fkd j th u h iem;dlsis l, fkdu Èrkd wdkkao iurfldaka xU jha; kf;fs; ehkhNthk; xd;Nw ehk; thOk; ,y;yk;ed;Nw clypy; XLk;xd;Nw ek; FUjp epwk; mjdhy; rNfhjuu; ehkhNthk; xd;wha; thOk; tsUk; ehk; ed;wha; ,t; ,y;ypdpNyeyNk tho;jy; Ntz;Lkd;Nwh ahtUk; md;G fUizAld; xw;Wik rpwf;f tho;e;jpLjy;nghd;Dk; kzpAk; Kj;Jky;y - mJNtahd;W kopahr; nry;tkd;Nwh."
6,What does the following mean: 'Mde;j rkuf;Nfhd; ftpijapd; ngau;g;G.'?,Mde;j rkuf;Nfhd; ftpijapd; ngau;g;G.
7,What does the following mean: 'v Message from the Hon.'?,v Message from the Hon.
8,What does the following mean: 'Minister of Education The past two decades have been significant in the world history due to changes that took place in technology.'?,Minister of Education The past two decades have been significant in the world history due to changes that took place in technology.
9,"What does the following mean: 'The present students face a lot of new challenges along with the rapid development of Information Technology, communication and other related fields.'?","The present students face a lot of new challenges along with the rapid development of Information Technology, communication and other related fields."
10,What does the following mean: 'The manner of career opportunities are liable to change specifically in the near future.'?,The manner of career opportunities are liable to change specifically in the near future.
11,"What does the following mean: 'In such an environment, with a new technological and intellectual society, thousands of innovative career opportunities would be created.'?","In such an environment, with a new technological and intellectual society, thousands of innovative career opportunities would be created."
12,"What does the following mean: 'To win those challenges, it is the responsibility of the Sri Lankan government and myself, as the Minister of Education, to empower you all.'?","To win those challenges, it is the responsibility of the Sri Lankan government and myself, as the Minister of Education, to empower you all."
13,What does the following mean: 'This book is a product of free education.'?,This book is a product of free education.
14,What does the following mean: 'Your aim must be to use this book properly and acquire the necessary knowledge out of it.'?,Your aim must be to use this book properly and acquire the necessary knowledge out of it.
15,"What does the following mean: 'The government in turn is able to provide free textbooks to you, as a result of the commitment and labour of your parents and elders.'?","The government in turn is able to provide free textbooks to you, as a result of the commitment and labour of your parents and elders."
16,"What does the following mean: 'Since we have understood that the education is crucial in deciding the future of a country, the government has taken steps to change curriculum to suit the rapid changes of the technological world.'?","Since we have understood that the education is crucial in deciding the future of a country, the government has taken steps to change curriculum to suit the rapid changes of the technological world."
17,"What does the following mean: 'Hence, you have to dedicate yourselves to become productive citizens.'?","Hence, you have to dedicate yourselves to become productive citizens."
18,What does the following mean: 'I believe that the knowledge this book provides will suffice your aim.'?,I believe that the knowledge this book provides will suffice your aim.
19,What does the following mean: 'It is your duty to give a proper value to the money spent by the government on your education.'?,It is your duty to give a proper value to the money spent by the government on your education.
20,What does the following mean: 'Also you should understand that education determines your future.'?,Also you should understand that education determines your future.
21,What does the following mean: 'Make sure that you reach the optimum social stratum through education.'?,Make sure that you reach the optimum social stratum through education.
22,What does the following mean: 'I congratulate you to enjoy the benefits of free education and bloom as an honoured citizen who takes the name of Sri Lanka to the world.'?,I congratulate you to enjoy the benefits of free education and bloom as an honoured citizen who takes the name of Sri Lanka to the world.
23,"What does the following mean: 'Akila Viraj Kariyawasam Minister of Education Being innovative, changing with right knowledgeBe a light to the country as well as to the world.'?","Akila Viraj Kariyawasam Minister of Education Being innovative, changing with right knowledgeBe a light to the country as well as to the world."
24,"What does the following mean: 'viForeword The educational objectives of the contemporary world are becoming more complex along with the economic, social, cultural and technological development.'?","viForeword The educational objectives of the contemporary world are becoming more complex along with the economic, social, cultural and technological development."
25,"What does the following mean: 'The learning and teaching process too is changing in relation to human experiences, technological differences, research and new indices.'?","The learning and teaching process too is changing in relation to human experiences, technological differences, research and new indices."
26,"What does the following mean: 'Therefore, it is required to produce the textbook by including subject related information according to the objectives in the syllabus in order to maintain the teaching process by organizing learning experiences that suit to the learner needs.'?","Therefore, it is required to produce the textbook by including subject related information according to the objectives in the syllabus in order to maintain the teaching process by organizing learning experiences that suit to the learner needs."
27,What does the following mean: 'The textbook is not merely a learning tool for the learner.'?,The textbook is not merely a learning tool for the learner.
28,"What does the following mean: 'It is a blessing that contributes to obtain a higher education along with a development of conduct and attitudes, to develop values and to obtain learning experiences.'?","It is a blessing that contributes to obtain a higher education along with a development of conduct and attitudes, to develop values and to obtain learning experiences."
29,What does the following mean: 'The government in its realization of the concept of free education has offered you all the textbooks from grades 1-11.'?,The government in its realization of the concept of free education has offered you all the textbooks from grades 1-11.
30,What does the following mean: 'I would like to remind you that you should make the maximum use of these textbooks and protect them well.'?,I would like to remind you that you should make the maximum use of these textbooks and protect them well.
31,What does the following mean: 'I sincerely hope that this textbook would assist you to obtain the expertise to become a virtuous citizen with a complete personality who would be a valuable asset to the country.'?,I sincerely hope that this textbook would assist you to obtain the expertise to become a virtuous citizen with a complete personality who would be a valuable asset to the country.
32,What does the following mean: 'I would like to bestow my sincere thanks on the members of the editorial and writer boards as well as on the staff of the Educational Publications Department who have strived to offer this textbook to you.'?,I would like to bestow my sincere thanks on the members of the editorial and writer boards as well as on the staff of the Educational Publications Department who have strived to offer this textbook to you.
33,"What does the following mean: 'Jayantha Wickramanayaka, Commissioner General of Educational Publications,Educational Publications Department,Isurupaya,Battaramulla.'?","Jayantha Wickramanayaka, Commissioner General of Educational Publications,Educational Publications Department,Isurupaya,Battaramulla."
34,What does the following mean: 'viiMonitoring and Supervision W.'?,viiMonitoring and Supervision W.
35,What does the following mean: 'Jayantha Wickramanayaka - Commissioner General of Educational Publications Educational Publications Department Direction W.'?,Jayantha Wickramanayaka - Commissioner General of Educational Publications Educational Publications Department Direction W.
36,What does the following mean: 'Nirmala Piyaseeli - Commissioner of Educational Publications (Development) Educational Publications Department Co-ordination K.'?,Nirmala Piyaseeli - Commissioner of Educational Publications (Development) Educational Publications Department Co-ordination K.
37,What does the following mean: 'Bandula Kumara - Deputy Commissioner Educational Publications Department W.'?,Bandula Kumara - Deputy Commissioner Educational Publications Department W.
38,What does the following mean: 'Suvendra Shyamaleen Jayawardhana - Assistant Commissioner Educational Publications Department Y .'?,Suvendra Shyamaleen Jayawardhana - Assistant Commissioner Educational Publications Department Y .
39,What does the following mean: 'Priyangika Kumari Yapa - Assistant Commissioner Educational Publications Department Panel of Editors 1.'?,Priyangika Kumari Yapa - Assistant Commissioner Educational Publications Department Panel of Editors 1.
40,What does the following mean: 'Vipulasena - Director (Science) Ministry of Education 2.'?,Vipulasena - Director (Science) Ministry of Education 2.
41,What does the following mean: 'Premalal Uduporuwa - Senior Lecturer National Institute of Education 3.'?,Premalal Uduporuwa - Senior Lecturer National Institute of Education 3.
42,What does the following mean: 'Pushpa Vitharana - Senior Lecturer Department of Education University of Peradeniya 4.'?,Pushpa Vitharana - Senior Lecturer Department of Education University of Peradeniya 4.
43,What does the following mean: 'Nilwala Kottegoda - Senior Lecturer Department of Chemistry University of Sri Jayawardanapura 5.'?,Nilwala Kottegoda - Senior Lecturer Department of Chemistry University of Sri Jayawardanapura 5.
44,What does the following mean: 'Rajudevan - Assistant Lecturer National Institute of Education 6.'?,Rajudevan - Assistant Lecturer National Institute of Education 6.
45,What does the following mean: 'Bandula Kumara - Deputy Commissioner Educational Publications Department 7.'?,Bandula Kumara - Deputy Commissioner Educational Publications Department 7.
46,What does the following mean: 'Suvendra Shyamaleen Jayawardana - Assistant Commissioner Educational Publications Department 8.'?,Suvendra Shyamaleen Jayawardana - Assistant Commissioner Educational Publications Department 8.
47,What does the following mean: 'Priyangika Kumari Yapa - Assistant Commissioner Educational Publications Department Panel of Writers 1.'?,Priyangika Kumari Yapa - Assistant Commissioner Educational Publications Department Panel of Writers 1.
48,"What does the following mean: 'Wijesundara - In-Service Advisor (Science) Zonal Education Office, Udugama 2.'?","Wijesundara - In-Service Advisor (Science) Zonal Education Office, Udugama 2."
49,What does the following mean: 'Gamini Jayasooriya - In-Service Advisor (Science) Divisional Education Office Wennappuwa'?,Gamini Jayasooriya - In-Service Advisor (Science) Divisional Education Office Wennappuwa
50,"What does the following mean: 'Shirani Disanayaka - Teacher Service Visaka Vidyalaya, Colombo 4.'?","Shirani Disanayaka - Teacher Service Visaka Vidyalaya, Colombo 4."
51,What does the following mean: 'Gamini Jayarathne - In-Service Advisor (Retired) 5.'?,Gamini Jayarathne - In-Service Advisor (Retired) 5.
52,"What does the following mean: 'Bandara - Teacher Service Neluwa National School, Neluwa 6.'?","Bandara - Teacher Service Neluwa National School, Neluwa 6."
53,What does the following mean: 'Indika Jayawardhana Peiris - Teacher Service Methodist High School Moratuwa 7.'?,Indika Jayawardhana Peiris - Teacher Service Methodist High School Moratuwa 7.
54,What does the following mean: 'Suyama Kottegoda - Teacher Service Bandaragama Central College Bandaragama 8.'?,Suyama Kottegoda - Teacher Service Bandaragama Central College Bandaragama 8.
55,What does the following mean: 'Chamila Ukwatta - Teacher Service D.S.'?,Chamila Ukwatta - Teacher Service D.S.
56,"What does the following mean: 'Senanayaka College, Colombo 07 9.'?","Senanayaka College, Colombo 07 9."
57,What does the following mean: 'Pigera - Assistant Educational Director (Retired) 10.'?,Pigera - Assistant Educational Director (Retired) 10.
58,"What does the following mean: 'Santha Kumara - In-Service Advisor (Science) Zonal Education Office, Haliela 11.'?","Santha Kumara - In-Service Advisor (Science) Zonal Education Office, Haliela 11."
59,What does the following mean: 'Rafaka - Principal Dummaladeniya Muslim College Dummaladeniya 12.'?,Rafaka - Principal Dummaladeniya Muslim College Dummaladeniya 12.
60,What does the following mean: 'Balakumaran - Teacher Service (Retired) Language Editing 1.'?,Balakumaran - Teacher Service (Retired) Language Editing 1.
61,What does the following mean: 'Indumini Darshika - Assistant Commissioner Educational Publications Department 2.'?,Indumini Darshika - Assistant Commissioner Educational Publications Department 2.
62,"What does the following mean: 'Ganegoda - Teacher Service Sri Jayawardanapura Balika Vidyalaya Kotte Illustrations, Cover Page and Page layout 1.'?","Ganegoda - Teacher Service Sri Jayawardanapura Balika Vidyalaya Kotte Illustrations, Cover Page and Page layout 1."
63,What does the following mean: 'Malaka Lalanajeewa - Graphic Designer Technical Assistance 1.'?,Malaka Lalanajeewa - Graphic Designer Technical Assistance 1.
64,What does the following mean: 'Tharindu Samarasinghe - Educational Publications Department 2.'?,Tharindu Samarasinghe - Educational Publications Department 2.
65,What does the following mean: 'Asha Amali Weerarathna - Educational Publications Department 3.'?,Asha Amali Weerarathna - Educational Publications Department 3.
66,What does the following mean: 'Naveen Tharaka Peiris - Educational Publications Department'?,Naveen Tharaka Peiris - Educational Publications Department
67,"What does the following mean: 'ixIntroduction This textbook was compiled by the Educational Publications Department in accordance with the syllabus prepared by the National Institute of Education for the use of Grade seven students in the Sri Lankan school system with effect from 2016.An effort has made here to arrange the subject content to suit the national educational goals, common national competencies, the objectives of teaching science and the content of the syllabus.The subject of science directs the student towards a more active learning process in a manner as to develop knowledge, skills and attitudes needed for a developmental scientific thought.In the compilation of this textbook, subject content is largely arranged based on experiences of daily life.'?","ixIntroduction This textbook was compiled by the Educational Publications Department in accordance with the syllabus prepared by the National Institute of Education for the use of Grade seven students in the Sri Lankan school system with effect from 2016.An effort has made here to arrange the subject content to suit the national educational goals, common national competencies, the objectives of teaching science and the content of the syllabus.The subject of science directs the student towards a more active learning process in a manner as to develop knowledge, skills and attitudes needed for a developmental scientific thought.In the compilation of this textbook, subject content is largely arranged based on experiences of daily life."
68,What does the following mean: 'It has contributed to prove the fact that the subject of science is very much closer to the day to day life.The compilation of this textbook based on activities is a distinctive feature.'?,It has contributed to prove the fact that the subject of science is very much closer to the day to day life.The compilation of this textbook based on activities is a distinctive feature.
69,"What does the following mean: 'The activities are prepared based on the scientific method in order to develop knowledge, skills and attitudes.'?","The activities are prepared based on the scientific method in order to develop knowledge, skills and attitudes."
70,What does the following mean: 'Activities that can be performed individually at home as well as in school are incorporated here.'?,Activities that can be performed individually at home as well as in school are incorporated here.
71,What does the following mean: 'We believe that learning through activities would contribute to create a liking and an interest in the child towards learning science.'?,We believe that learning through activities would contribute to create a liking and an interest in the child towards learning science.
72,"What does the following mean: 'At the end of each chapter, a summary, a series of exercises and a glossary were included.'?","At the end of each chapter, a summary, a series of exercises and a glossary were included."
73,"What does the following mean: 'It enables the student to identify the important details of the chapter as well as to self evaluate the achievement of learning outcomes.For the purpose of directing the student to study further about the subject matter, more information is included in the ""For you extra Knowledge"".'?","It enables the student to identify the important details of the chapter as well as to self evaluate the achievement of learning outcomes.For the purpose of directing the student to study further about the subject matter, more information is included in the ""For you extra Knowledge""."
74,What does the following mean: 'It is given only to broaden the subject area of the child and certainly not to ask questions at term tests.Assignments and projects are given with the purpose of directing the student towards an explorative study.'?,It is given only to broaden the subject area of the child and certainly not to ask questions at term tests.Assignments and projects are given with the purpose of directing the student towards an explorative study.
75,"What does the following mean: 'It enables the students to develop the higher order skills such as application, analysis and synthesis of the concepts achieved from the lesson.We strongly believe that the duty of the teachers who teach science is to direct the student for self learning instead of teaching the student using traditional teaching methods.'?","It enables the students to develop the higher order skills such as application, analysis and synthesis of the concepts achieved from the lesson.We strongly believe that the duty of the teachers who teach science is to direct the student for self learning instead of teaching the student using traditional teaching methods."
76,What does the following mean: 'This textbook can be utilized by the teachers as a learning tool to execute their teaching role properly.'?,This textbook can be utilized by the teachers as a learning tool to execute their teaching role properly.
77,What does the following mean: 'We would like to bestow our sincere thanks on the senior lecturer Asoka De Silva of the National Institute of Education and the professional writer Dr.'?,We would like to bestow our sincere thanks on the senior lecturer Asoka De Silva of the National Institute of Education and the professional writer Dr.
78,What does the following mean: 'Ariyasinghe.We kindly request you to forward your comments and suggestions on this textbook to the Educational Publications Department.'?,Ariyasinghe.We kindly request you to forward your comments and suggestions on this textbook to the Educational Publications Department.
79,What does the following mean: 'Board of Writers and Editors'?,Board of Writers and Editors
80,What does the following mean: 'Static Electricity 22 2.1 Charging an object 22 2.2 Types of static electric charges 23 2.3 Generation of static electric charges 26 2.4 Phenomena associated with static electricity 28 2.5 Capacitors 30 3.'?,Static Electricity 22 2.1 Charging an object 22 2.2 Types of static electric charges 23 2.3 Generation of static electric charges 26 2.4 Phenomena associated with static electricity 28 2.5 Capacitors 30 3.
81,What does the following mean: 'Generation of Electricity 34 3.1 Sources of electricity 35 3.2 Direct current and alternating current 49 4.'?,Generation of Electricity 34 3.1 Sources of electricity 35 3.2 Direct current and alternating current 49 4.
82,What does the following mean: 'Functions of Water 54 4.1 Water as a solvent 54 4.2 Water as a coolant 58 4.3 Water as a medium of life 60 5.'?,Functions of Water 54 4.1 Water as a solvent 54 4.2 Water as a coolant 58 4.3 Water as a medium of life 60 5.
83,What does the following mean: 'Acids and Bases 63 5.1 Identification of acids and bases 63 5.2 Acids and bases available in school laboratory 64 and home 1.'?,Acids and Bases 63 5.1 Identification of acids and bases 63 5.2 Acids and bases available in school laboratory 64 and home 1.
